# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data
0,0,0:00.000.000,,,,,,Capture started,[08/03/23 13:33:45]
0,1,0:00.296.448,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,2,0:00.296.519,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,3,0:00.296.570,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,4,0:00.296.642,323.000 us,11 B,,SP,4B,Read Transaction,01 29 10 02 06 01 01 16 00 00 00*
0,5,0:01.434.671,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,6,0:01.434.742,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,7,0:01.434.793,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,8,0:01.434.865,323.000 us,11 B,,SP,4B,Read Transaction,01 29 10 02 06 01 01 16 00 00 00*
0,9,0:02.573.680,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,10,0:02.573.751,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,11,0:02.573.802,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,12,0:02.573.874,323.000 us,11 B,,SP,4B,Read Transaction,01 29 10 02 06 01 00 16 00 00 00*
0,13,0:03.443.648,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,14,0:03.443.719,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,15,0:03.443.770,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,16,0:03.443.842,325.400 us,11 B,,SP,4B,Read Transaction,01 30 94 0B 00 13 00 0E 00 00 00*
0,17,0:03.476.591,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,18,0:03.476.662,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,19,0:03.476.714,70.100 us,2 B,,SP,4B,Write Transaction,82 01
