# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data
0,0,0:00.000.000,,,,,,Capture started,[08/03/23 16:36:27]
0,1,0:01.127.507,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,2,0:01.127.579,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,3,0:01.127.630,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,4,0:01.127.701,322.900 us,11 B,,SP,4B,Read Transaction,01 29 10 02 06 01 01 16 00 00 00*
0,5,0:02.266.556,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,6,0:02.266.628,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,7,0:02.266.679,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,8,0:02.266.750,322.600 us,11 B,,SP,4B,Read Transaction,01 29 10 02 06 01 00 16 00 00 00*
0,9,0:04.543.439,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,10,0:04.543.510,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,11,0:04.543.561,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,12,0:04.543.633,322.900 us,11 B,,SP,4B,Read Transaction,01 29 10 02 06 01 00 16 00 00 00*
0,13,0:05.682.335,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,14,0:05.682.407,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,15,0:05.682.458,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,16,0:05.682.529,322.800 us,11 B,,SP,4B,Read Transaction,01 29 10 02 06 01 01 16 00 00 00*
0,17,0:06.898.812,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,18,0:06.898.883,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,19,0:06.898.935,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,20,0:06.899.006,325.100 us,11 B,,SP,4B,Read Transaction,01 30 94 12 00 32 0F 0B 00 00 00*
0,21,0:06.948.250,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,22,0:06.948.321,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,23,0:06.948.373,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,24,0:06.948.444,325.200 us,11 B,,SP,4B,Read Transaction,01 30 90 12 00 32 0F 10 00 00 00*
0,25,0:07.014.084,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,26,0:07.014.156,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,27,0:07.014.207,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,28,0:07.014.278,325.200 us,11 B,,SP,4B,Read Transaction,01 30 90 12 00 32 0F 15 00 00 00*
0,29,0:07.065.173,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,30,0:07.065.244,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,31,0:07.065.295,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,32,0:07.065.367,325.500 us,11 B,,SP,4B,Read Transaction,01 30 91 1D 00 33 0F 1A 00 00 00*
0,33,0:07.081.637,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,34,0:07.081.708,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,35,0:07.081.759,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,36,0:07.081.831,325.000 us,11 B,,SP,4B,Read Transaction,01 30 91 20 00 33 0F 1A 00 00 00*
0,37,0:07.098.094,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,38,0:07.098.165,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,39,0:07.098.216,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,40,0:07.098.288,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 22 00 33 0F 1A 00 00 00*
0,41,0:07.114.556,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,42,0:07.114.627,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,43,0:07.114.678,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,44,0:07.114.750,325.400 us,11 B,,SP,4B,Read Transaction,01 30 91 25 00 34 0F 1A 00 00 00*
0,45,0:07.131.023,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,46,0:07.131.095,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,47,0:07.131.146,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,48,0:07.131.217,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 28 00 34 0F 1A 00 00 00*
0,49,0:07.147.553,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,50,0:07.147.624,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,51,0:07.147.675,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,52,0:07.147.747,325.100 us,11 B,,SP,4B,Read Transaction,01 30 91 2B 00 34 0F 1A 00 00 00*
0,53,0:07.164.012,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,54,0:07.164.083,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,55,0:07.164.134,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,56,0:07.164.206,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 2E 00 34 0F 1F 00 00 00*
0,57,0:07.180.507,70.100 us,2 B,,SP,4B,Write Transaction,82 01
