# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data
0,0,0:00.000.000,,,,,,Capture started,[08/03/23 12:18:06]
0,1,0:00.584.709,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,2,0:00.584.780,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,3,0:00.584.831,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,4,0:00.584.903,323.100 us,11 B,,SP,4B,Read Transaction,01 29 10 02 06 01 01 16 00 00 00*
0,5,0:01.724.105,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,6,0:01.724.177,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,7,0:01.724.228,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,8,0:01.724.299,323.100 us,11 B,,SP,4B,Read Transaction,01 29 10 02 06 01 00 16 00 00 00*
0,9,0:02.863.418,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,10,0:02.863.490,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,11,0:02.863.541,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,12,0:02.863.612,322.300 us,11 B,,SP,4B,Read Transaction,01 29 10 02 06 01 00 16 00 00 00*
0,13,0:04.002.009,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,14,0:04.002.081,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,15,0:04.002.132,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,16,0:04.002.203,321.900 us,11 B,,SP,4B,Read Transaction,01 29 10 02 06 01 00 16 00 00 00*
0,17,0:05.156.007,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,18,0:05.156.079,49.700 us,1 B,,SP,4B,Read Transaction,01*
0,19,0:05.156.130,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,20,0:05.156.201,325.100 us,11 B,,SP,4B,Read Transaction,01 30 94 AA 00 2F 0F 13 00 00 00*
0,21,0:05.188.994,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,22,0:05.189.065,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,23,0:05.189.117,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,24,0:05.189.188,325.300 us,11 B,,SP,4B,Read Transaction,01 30 91 B6 00 2F 0F 19 00 00 00*
0,25,0:05.205.464,70.200 us,2 B,,SP,4B,Write Transaction,82 01
0,26,0:05.205.536,49.800 us,1 B,,SP,4B,Read Transaction,01*
0,27,0:05.205.587,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,28,0:05.205.658,325.200 us,11 B,,SP,4B,Read Transaction,01 30 91 B9 00 30 0F 19 00 00 00*
0,29,0:05.221.959,70.100 us,2 B,,SP,4B,Write Transaction,82 01
0,30,0:05.222.031,49.800 us,1 B,,SP,4B,Read Transaction,01*
